team,over,bowler,batter,player_out,kind,fielders
New Zealand,2,J Srinath,SP Fleming,SP Fleming,caught,M Kaif
New Zealand,32,SC Ganguly,NJ Astle,NJ Astle,caught,Z Khan
New Zealand,35,J Srinath,CD McMillan,CD McMillan,lbw,
New Zealand,42,Harbhajan Singh,MS Sinclair,MS Sinclair,caught,R Dravid
New Zealand,43,Z Khan,JDP Oram,JDP Oram,run out,J Srinath
New Zealand,45,J Srinath,L Vincent,L Vincent,bowled,
New Zealand,47,Z Khan,BB McCullum,BB McCullum,caught,Yuvraj Singh
New Zealand,47,Z Khan,KD Mills,KD Mills,bowled,
New Zealand,49,Z Khan,DR Tuffey,DR Tuffey,bowled,
India,0,DR Tuffey,SC Ganguly,SC Ganguly,bowled,
India,14,KD Mills,VVS Laxman,VVS Laxman,caught,BB McCullum
India,23,DL Vettori,V Sehwag,R Dravid,run out,"SP Fleming, BB McCullum"
India,23,DL Vettori,Yuvraj Singh,Yuvraj Singh,stumped,BB McCullum
India,35,DR Tuffey,M Kaif,M Kaif,caught,BB McCullum
India,36,JDP Oram,SB Bangar,SB Bangar,caught,BB McCullum
India,39,DR Tuffey,Harbhajan Singh,V Sehwag,run out,DR Tuffey
India,40,PA Hitchcock,Harbhajan Singh,Harbhajan Singh,caught,BB McCullum
India,43,KD Mills,J Srinath,J Srinath,caught,JDP Oram
India,43,KD Mills,Z Khan,Z Khan,caught,CD McMillan
